,description
737,"{'min_years_of_experience': 7, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['data pipeline', 'Agile/Scrum', 'data extraction', 'process automation', 'API-first design', 'version control', 'collaboration', 'ETL processes', 'data manipulation', 'big data analysis', 'CI/CD pipelines', 'relational database', 'Git', 'APIs', 'data visualization', 'Shell scripts', 'communication']}"
738,"{'min_years_of_experience': 7, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['data pipeline', 'Agile/Scrum', 'data extraction', 'process automation', 'API-first design', 'data manipulation', 'big data analysis', 'CI/CD pipelines', 'relational database', 'version control', 'API development', 'data visualization', 'Shell scripting', 'data strategies', 'communication']}"
739,"{'min_years_of_experience': 6, 'min_hourly_salary': 0, 'max_hourly_salary': 0, 'min_yearly_salary': 174400, 'max_yearly_salary': 228900, 'required_degree': 'Advanced degree in a quantitative or technical field', 'remote_work': True, 'required_skills': ['SQL', 'R', 'Python', 'data models', 'analytics', 'statistical modeling', 'data processing', 'people management']}"
740,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['Google Analytics 4', 'reporting', 'data analysis', 'SQL', 'PPC', 'Social Media', 'JavaScript', 'ecommerce', 'SEO', 'data visualization']}"
741,"{'min_years_of_experience': 5, 'min_hourly_salary': 60, 'max_hourly_salary': 70, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['Data Analytics', 'SQL', 'PowerBI', 'Tableau', 'Problem-solving', 'Communication', 'Influencing', 'Cross-functional', 'End-to-End', 'Flexibility', 'Attention to detail']}"
742,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'report writing', 'spreadsheets', 'databases', 'Python', 'R', 'Cognos', 'SQL', 'Power Bi', 'excel']}"
743,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['forensic data collection', 'forensic analysis', 'legal coordination', 'forensic tool maintenance', 'project management', 'procedures development', 'chain of custody', 'quality checks', 'general IT functions', 'communication skills', 'organizational skills', 'troubleshooting']}"
744,"{'min_years_of_experience': None, 'min_hourly_salary': 30, 'max_hourly_salary': 50, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['mathematics', 'AI', 'bilingual']}"
745,"{'min_years_of_experience': 3, 'min_hourly_salary': 48, 'max_hourly_salary': 67, 'min_yearly_salary': 100000, 'max_yearly_salary': 140000, 'required_degree': None, 'remote_work': False, 'required_skills': ['analytics', 'SQL', 'Python', 'ML', 'Product Analytics', 'communication', 'statistical concepts', 'data analysis', 'A/B tests', 'frameworks', 'collaborative work', 'creativity', 'curiosity']}"
746,"{'min_years_of_experience': None, 'min_hourly_salary': 30, 'max_hourly_salary': 50, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['mathematics', 'AI model training', 'bilingual communication']}"
747,"{'min_years_of_experience': None, 'min_hourly_salary': 30, 'max_hourly_salary': 50, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['数学', 'AIモデルトレーニング', '英語', '日本語']}"
748,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['analytics', 'data exploration', 'data automation', 'data transformation', 'data visualization', 'data modeling', 'data governance', 'SQL', 'DAX', 'Python', 'dbt', 'LookML', 'SSRS', 'Snowflake', 'Excel', 'ad hoc analysis', 'systems integrations', 'web services', 'APIs', 'financial mathematics', 'investment management']}"
749,"{'min_years_of_experience': 6, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['SQL', 'Customer service', 'Customer support', 'Network support', 'Infrastructure support', 'Internet protocols', 'Incident management', 'Troubleshooting', 'Data entry', 'Data analysis', 'Documentation', 'Reporting', 'Ticketing systems', 'Splunk', 'Salesforce']}"
750,"{'min_years_of_experience': 7, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['data governance', 'metadata management', 'data quality', 'data profiling', 'data lineage', 'SQL', 'data analysis', 'Microsoft Office', 'ETL', 'databases', 'Tableau', 'Cognos', 'Protobuf', 'APIs', 'Kafka', 'data flow diagrams', 'Collibra', 'IBM Infosphere', 'Informatica']}"
751,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 140000, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['business analysis', 'data analysis', 'project management', 'SQL', 'financial services']}"
752,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 150550, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['application architecture', 'data wrangling', 'ML/AI', 'data acquisition', 'data visualization']}"
753,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['SAS', 'Tableau', 'data validation', 'communication', 'problem-solving']}"
754,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': True, 'required_skills': ['data analysis', 'statistical tables', 'technical writing', 'surveys', 'programming']}"
755,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 108000, 'max_yearly_salary': 145000, 'required_degree': None, 'remote_work': True, 'required_skills': ['clinical background', 'medical coding', 'SQL queries', 'interpersonal skills', 'technical skills', 'curiosity', 'communication']}"
756,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['analytic skills', 'issue resolution', 'facilitation skills', 'SQL proficiency', 'communication skills', 'interpersonal skills', 'teamwork', 'data analytics tools', 'statistical software']}"
757,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['SQL', 'data visualization', 'Tableau', 'advanced analytics', 'python', 'ML models', 'LLM', 'communication']}"
758,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['data analytics', 'scripting', 'business intelligence', 'data governance', 'data quality', 'AWS']}"
759,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 85000, 'max_yearly_salary': 125000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['Power BI', 'SQL', 'data management', 'data governance', 'data modeling', 'analytical skills', 'problem-solving', 'communication', 'collaboration']}"
760,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 88000, 'max_yearly_salary': 132000, 'required_degree': None, 'remote_work': True, 'required_skills': ['competitive analysis', 'market research', 'cross-functional coordination', 'communication', 'presentation', 'analytical skills', 'CRM experience']}"
761,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 62400, 'max_yearly_salary': 86940, 'required_degree': None, 'remote_work': True, 'required_skills': ['Microsoft Excel', 'Power BI', 'SQL', 'data analysis', 'AI tools', 'PowerPoint', 'critical thinking', 'problem solving', 'communication', 'organization']}"
762,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS/PHD', 'remote_work': False, 'required_skills': ['SQL', 'statistical modeling', 'causal inference', 'experimentation', 'Python', 'R', 'data visualization']}"
763,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS/PHD', 'remote_work': False, 'required_skills': ['SQL', 'statistical modeling', 'causal inference', 'experimentation', 'Python', 'R', 'data visualization']}"
764,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['Data Science', 'analytics', 'SQL', 'statistical modeling', 'causal inference', 'experimentation', 'Python', 'R', 'Tableau', 'communication', 'market research']}"
765,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 98155, 'max_yearly_salary': 145110, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analytics', 'marketing analysis', 'KPI development', 'digital marketing', 'A/B testing', 'customer segmentation', 'data infrastructure', 'Python', 'R', 'SQL', 'Tableau']}"
766,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 114000, 'max_yearly_salary': 171000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'data mining', 'quantitative analysis', 'SQL', 'Python', 'R', 'statistical software', 'user behaviors', 'product trends']}"
767,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': 132000, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['data analysis', 'SQL', 'Python', 'R', 'analytics']}"
768,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['data analysis', 'data querying', 'scripting', 'statistical software']}"
769,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['SQL', 'Python', 'R', 'statistical methods', 'machine learning']}"
770,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data analytics', 'dashboards', 'process automations', 'large data sets', 'mathematics', 'statistics', 'computer science', 'records management', 'technical writing', 'project management', 'data analysis', 'database systems', 'analytical techniques', 'performance monitoring', 'oral communication']}"
771,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['analytics', 'SQL', 'data visualization', 'communication', 'A/B testing', 'data analysis']}"
772,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['advanced analytics', 'data science', 'statistical modeling', 'machine learning', 'data mining', 'SQL', 'data visualization', 'Python', 'R', 'communication', 'problem-solving']}"
773,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 114000, 'max_yearly_salary': 171000, 'required_degree': 'BS/MS/PHD', 'remote_work': False, 'required_skills': ['analytics', 'data querying', 'scripting', 'data mining', 'quantitative analysis', 'problem solving', 'communication']}"
774,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 100000, 'max_yearly_salary': 130000, 'required_degree': None, 'remote_work': False, 'required_skills': ['Statistics', 'Data Analysis', 'Model Development', 'Machine Learning']}"
775,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 131200, 'max_yearly_salary': 172200, 'required_degree': 'MS', 'remote_work': True, 'required_skills': ['SQL', 'R', 'Python', 'data models', 'statistical modeling']}"
776,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'machine learning', 'SQL', 'data visualization', 'Python', 'Microsoft Office', 'Docker', 'Unix/Linux', 'statistical modeling', 'demand forecasting']}"
777,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 136300, 'max_yearly_salary': 177300, 'required_degree': 'BA/BS', 'remote_work': False, 'required_skills': ['data analytics', 'A/B testing', 'SQL', 'Python', 'data wrangling', 'statistics', 'data storytelling', 'collaboration']}"
778,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['data science', 'machine learning', 'Python', 'R', 'data visualization', 'SQL', 'big data']}"
779,"{'min_years_of_experience': None, 'min_hourly_salary': 46, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': 134000, 'required_degree': ""Ph.D/Bachelor's"", 'remote_work': False, 'required_skills': ['data querying', 'scripting languages', 'statistical packages', 'distributed computing', 'data analysis', 'quantitative analysis']}"
780,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'Undergraduate', 'remote_work': False, 'required_skills': ['Data Science', 'Financial Models', 'Capacity Planning', 'MS Excel', 'SQL', 'Communication']}"
781,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 1000000, 'max_yearly_salary': 10000000, 'required_degree': None, 'remote_work': False, 'required_skills': ['computer vision', 'ML', 'PyTorch', 'video processing', 'generative AI', 'face detection', 'tracking']}"
782,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['Python', 'R', 'machine learning', 'SQL', 'big data', 'data visualization', 'statistical analysis', 'NLP', 'cloud computing', 'problem-solving', 'communication']}"
783,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['data architecture', 'cloud environments', 'Python', 'data science', 'SQL', 'MongoDB', 'machine learning', 'optimization', 'US electricity markets', 'power data', 'modeling', 'forecasting']}"
784,"{'min_years_of_experience': 8, 'min_hourly_salary': 0, 'max_hourly_salary': 0, 'min_yearly_salary': 93000, 'max_yearly_salary': 139000, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data analysis', 'visualization', 'database management', 'quantitative analysis', 'qualitative analysis', 'statistical software', 'data collection', 'data quality', 'research design']}"
785,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['Data Science', 'SQL', 'R', 'Python', 'Machine Learning', 'Artificial Intelligence', 'Data Security', 'Data Privacy', 'Agile', 'Design Thinking', 'MLOps', 'Databricks', 'Jupyter Notebooks', 'Azure Data Factory']}"
786,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 144000, 'max_yearly_salary': 180000, 'required_degree': 'Ph.D.', 'remote_work': False, 'required_skills': ['optimization', 'inference', 'Python', 'data analysis', 'visualization', 'communication']}"
787,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['Banking analytics', 'Payments analytics', 'Predictive solutions', 'ML solutions', 'SQL', 'Tableau', 'Python', 'Big Data Technologies', 'Hadoop', 'Spark', 'Communication skills', 'Stakeholder management', 'Problem-solving skills']}"
788,"{'min_years_of_experience': 12, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': True, 'required_skills': ['cloud management', 'AWS Sagemaker', 'coding', 'Python', 'SQL', 'Spark', 'Agile', 'DevOps', 'stakeholder management', 'visualization', 'analytics', 'best practices', 'open source']}"
789,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['machine learning', 'MLOps', 'foundational models', 'PyTorch', 'Python', 'software development', 'data pipelines']}"
790,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['Python', 'R', 'machine learning', 'deep learning', 'NLP', 'Computer Vision', 'data management', 'databases', 'SQL', 'Hadoop', 'AWS', 'Azure']}"
791,"{'min_years_of_experience': 2, 'min_hourly_salary': 55, 'max_hourly_salary': 65, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['AWS', 'Azure', 'Python', 'SQL']}"
792,"{'min_years_of_experience': 4, 'min_hourly_salary': 0, 'max_hourly_salary': 0, 'min_yearly_salary': 136000, 'max_yearly_salary': 176000, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['data science', 'data analysis', 'SQL', 'R', 'Python', 'Spark', 'Looker', 'Tableau', 'statistical methods', 'experimentation theory']}"
793,"{'min_years_of_experience': 8, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 192000, 'max_yearly_salary': 243000, 'required_degree': 'PHD', 'remote_work': True, 'required_skills': ['causal inference', 'machine learning', 'predictive modeling', 'data-driven product development', 'communication skills', 'data-driven strategies', 'strategic thinking', 'problem-solving']}"
794,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['machine learning', 'AI solutions', 'Python', 'deep learning', 'statistical concepts', 'linear algebra', 'calculus', 'probability theory', 'problem solving', 'communication', 'data analysis']}"
795,"{'min_years_of_experience': 8, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 178500, 'max_yearly_salary': 220000, 'required_degree': None, 'remote_work': True, 'required_skills': ['data science', 'ML', 'AI', 'large language models', 'prompt engineering', 'SQL', 'Python']}"
796,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['SQL', 'Python', 'R', 'data visualization', 'data warehousing', 'data modeling', 'problem-solving', 'analytical skills', 'communication', 'interpersonal skills']}"
797,"{'min_years_of_experience': 8, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 206000, 'max_yearly_salary': 281000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'technical expertise', 'experimentation', 'data mining', 'communication', 'stakeholder management']}"
798,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 130000, 'max_yearly_salary': 200000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['LLMs', 'Generative AI', 'NLP', 'Python', 'Data Science', 'Machine Learning', 'Statistical Modeling', 'Cloud ML']}"
799,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'data visualization', 'BI software', 'SQL', 'R', 'Python', 'SAS', 'data management', 'statistical analyses', 'communication', 'attention to detail']}"
800,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 190000, 'max_yearly_salary': 355000, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['machine learning', 'data analysis', 'production code', 'ad products']}"
801,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 144000, 'max_yearly_salary': 180000, 'required_degree': 'PhD', 'remote_work': False, 'required_skills': ['optimization', 'inference', 'Python', 'data analysis', 'communication']}"
802,"{'min_years_of_experience': None, 'min_hourly_salary': 56, 'max_hourly_salary': 105, 'min_yearly_salary': 118500, 'max_yearly_salary': 219200, 'required_degree': 'MSc or Ph.D', 'remote_work': False, 'required_skills': ['data science', 'statistics', 'biostatistics', 'mathematics', 'collaboration', 'communication', 'GCP', 'regulations', 'compliance']}"
803,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data parsing', 'data cleaning', 'statistics', 'Python', 'ETL', 'RAG techniques', 'NLP', 'TensorFlow', 'PyTorch']}"
804,"{'min_years_of_experience': 3, 'min_hourly_salary': 0, 'max_hourly_salary': 0, 'min_yearly_salary': 151000, 'max_yearly_salary': 185000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['Data Science', 'Python', 'R', 'Machine Learning', 'Computer Vision', 'Object Detection']}"
805,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 176800, 'max_yearly_salary': 221000, 'required_degree': None, 'remote_work': True, 'required_skills': ['Python', 'SQL', 'machine learning', 'Risk', 'communication', 'interpersonal skills']}"
806,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['Python', 'R', 'TensorFlow', 'PyTorch', 'Keras', 'scikit-learn', 'SQL', 'NoSQL', 'big data tools', 'AWS', 'Google Cloud', 'Microsoft Azure', 'model evaluation', 'GitHub', 'GitLab', 'problem-solving', 'communication']}"
807,"{'min_years_of_experience': 0, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['R', 'Python', 'SQL', 'Spark', 'Tableau', 'Power BI', 'statistical techniques', 'machine learning']}"
808,"{'min_years_of_experience': 1, 'min_hourly_salary': 5, 'max_hourly_salary': 8, 'min_yearly_salary': 5627, 'max_yearly_salary': 8440, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data science', 'machine learning', 'artificial intelligence', 'statistics', 'mathematics', 'technical solutions', 'production systems', 'analytical techniques', 'programming languages', 'devops practices']}"
809,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['Python', 'SQL', 'statistics', 'data analysis', 'data visualization', 'problem-solving', 'collaborative work', 'communication']}"
810,"{'min_years_of_experience': 12, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['Data Science', 'PySpark', 'Azure DataFactory', 'Azure Databricks']}"
811,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 125000, 'max_yearly_salary': 225000, 'required_degree': None, 'remote_work': False, 'required_skills': ['Python', 'SQL', 'software engineering', 'communication', 'financial markets']}"
812,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analytics', 'predictive modelling', 'machine-learning', 'clustering', 'classification', 'programming', 'Big Data', 'visualization']}"
813,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS/PhD', 'remote_work': False, 'required_skills': ['data analytics', 'predictive analytics', 'statistical models', 'machine learning', 'deep learning', 'software engineering', 'Python', 'Spark', 'SQL', 'Tableau', 'Google Analytics', 'BigQuery']}"
814,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'data visualization', 'statistics', 'data management', 'Microsoft Power BI', 'SQL', 'R', 'Python', 'SAS', 'communication']}"
815,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['Java', 'programming', 'software development', 'Core Java', 'JavaScript', 'C++', 'Spring Boot', 'Microservices', 'Docker', 'Jenkins', 'REST APIs', 'Statistics', 'SAS', 'Python', 'Computer Vision', 'data visualization', 'NLP', 'Text mining', 'Tableau', 'PowerBI', 'TensorFlow']}"
816,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS, MS or PhD', 'remote_work': False, 'required_skills': ['modern data science tools', 'Python', 'SQL', 'Linux', 'machine learning techniques', 'communication skills']}"
817,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 190000, 'max_yearly_salary': 355000, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['machine learning', 'data analysis', 'production code', 'recommendation systems', 'deep learning', 'NLP']}"
818,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 80000, 'max_yearly_salary': 120000, 'required_degree': 'Graduate degree', 'remote_work': False, 'required_skills': ['data science', 'machine learning', 'SAS', 'Python', 'SQL', 'Excel', 'communication']}"
819,"{'min_years_of_experience': 4, 'min_hourly_salary': 36, 'max_hourly_salary': 49, 'min_yearly_salary': 75000, 'max_yearly_salary': 103670, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'data visualization', 'Microsoft Power BI', 'SQL', 'R', 'Python', 'SAS', 'data management', 'statistical analysis', 'communication']}"
820,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 150000, 'max_yearly_salary': 200000, 'required_degree': None, 'remote_work': True, 'required_skills': ['AI', 'LLMs', 'data platform', 'data integration']}"
821,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'B.E./ B. Tech / M. Tech/ MCA', 'remote_work': False, 'required_skills': ['GenAI capabilities', 'deep learning', 'CNN', 'RNN', 'transformers', 'optimization algorithms', 'programming in Python', 'Computer Vision', 'TensorFlow', 'PyTorch', 'AI/ML modeling', 'supervised learning', 'unsupervised learning', 'reinforcement learning', 'federated learning', 'time series forecasting', 'Bayesian statistics', 'LLM design', 'NLP systems', 'cloud computing']}"
